Timestamp (us),X Axis (g),Y Axis (g),Z Axis (g)
37501412,-0.196000,-0.294000,2.450000
37522754,-0.147000,-0.147000,2.352000
37544097,-0.196000,-0.098000,2.499000
37565439,-0.196000,-0.245000,2.450000
37586780,-0.147000,-0.147000,2.450000
37608122,-0.196000,-0.196000,2.450000
37629474,-0.245000,-0.196000,2.450000
37650805,-0.196000,-0.196000,2.548000
37672147,-0.147000,-0.196000,2.450000
37693491,-0.196000,-0.196000,2.548000
37714834,-0.196000,-0.196000,2.450000
37736176,-0.196000,-0.196000,2.499000
37757519,-0.196000,-0.147000,2.450000
37778861,-0.196000,-0.245000,2.450000
37800204,-0.196000,-0.245000,2.450000
37821548,-0.147000,-0.147000,2.548000
37842891,-0.196000,-0.147000,2.450000
37864234,-0.196000,-0.147000,2.450000
37885576,-0.196000,-0.245000,2.450000
37906920,-0.245000,-0.196000,2.548000
37928261,-0.098000,-0.098000,2.450000
37949604,-0.196000,-0.294000,2.499000
37970947,-0.196000,-0.196000,2.499000
37992289,-0.196000,-0.196000,2.499000
38013631,-0.196000,-0.147000,2.450000
38034973,-0.245000,-0.245000,2.450000
38056317,-0.196000,-0.147000,2.499000
38077658,-0.147000,-0.196000,2.401000
38099000,-0.049000,-0.245000,2.450000
38120342,-0.196000,-0.245000,2.548000
38141684,-0.196000,-0.147000,2.548000
38163026,-0.245000,-0.196000,2.548000
38184368,-0.196000,-0.147000,2.450000
38205710,-0.098000,-0.147000,2.450000
38227053,-0.196000,-0.147000,2.401000
38248396,-0.196000,-0.196000,2.450000
38269738,-0.196000,-0.245000,2.401000
38291080,-0.147000,-0.147000,2.450000
38312422,-0.245000,-0.245000,2.499000
38333762,-0.245000,-0.245000,2.450000
38355104,-0.196000,-0.196000,2.401000
38376444,-0.196000,-0.147000,2.499000
38397785,-0.196000,-0.147000,2.450000
38419128,-0.245000,-0.147000,2.450000
38440469,-0.196000,-0.196000,2.499000
38461811,-0.245000,-0.196000,2.499000
38483154,-0.196000,-0.294000,2.450000
38504496,-0.196000,-0.245000,2.450000
38525839,-0.147000,-0.196000,2.450000
38547182,-0.196000,-0.196000,2.499000
38568525,-0.196000,-0.147000,2.499000
38589868,-0.147000,-0.147000,2.548000
38611211,-0.147000,-0.147000,2.499000
38632553,-0.196000,-0.196000,2.499000
38653896,-0.147000,-0.147000,2.499000
38675240,-0.196000,-0.147000,2.548000
38696583,-0.196000,-0.147000,2.450000
38717926,-0.196000,-0.196000,2.499000
38739269,-0.196000,-0.196000,2.450000
38760627,-0.147000,-0.147000,2.499000
38781955,-0.147000,-0.147000,2.450000
38803298,-0.147000,-0.147000,2.499000
38824641,-0.147000,-0.098000,2.499000
38845985,-0.196000,-0.196000,2.450000
38867327,-0.147000,-0.098000,2.548000
38888671,-0.196000,-0.196000,2.450000
38910014,-0.147000,-0.147000,2.499000
38931357,-0.245000,-0.196000,2.450000
38952699,-0.147000,-0.294000,2.450000
38974043,-0.196000,-0.147000,2.499000
38995385,-0.196000,-0.147000,2.352000
39016727,-0.245000,-0.196000,2.401000
39038070,-0.196000,-0.147000,2.499000
39059413,-0.196000,-0.098000,2.450000
39080756,-0.098000,-0.049000,2.499000
39102098,-0.196000,-0.245000,2.450000
39123440,-0.196000,-0.196000,2.499000
39144782,-0.196000,-0.196000,2.450000
39166125,-0.245000,-0.196000,2.499000
39187468,-0.245000,-0.245000,2.450000
39208811,-0.147000,-0.196000,2.499000
39230153,-0.147000,-0.147000,2.499000
39251496,-0.196000,-0.245000,2.499000
39272840,-0.196000,-0.196000,2.450000
39294182,-0.196000,-0.245000,2.499000
39315525,-0.245000,-0.245000,2.499000
39336868,-0.245000,-0.245000,2.401000
39358211,-0.294000,-0.147000,2.401000
39379555,-0.245000,-0.245000,2.548000
39400899,-0.196000,-0.147000,2.499000
39422243,-0.196000,-0.245000,2.450000
39443586,-0.196000,-0.196000,2.499000
39464929,-0.245000,-0.196000,2.499000
39486273,-0.147000,-0.294000,2.450000
39507617,-0.196000,-0.196000,2.499000
39528961,-0.147000,-0.147000,2.548000
39550305,-0.196000,-0.196000,2.499000
39571648,-0.196000,-0.147000,2.499000
39592992,-0.196000,-0.196000,2.499000
39614336,-0.147000,-0.147000,2.450000
39635680,-0.196000,-0.245000,2.499000
39657024,-0.147000,-0.147000,2.499000
39678368,-0.196000,-0.245000,2.401000
