Timestamp (us),Percentage (%),Voltage (V),Charging Status
34818733,100.000000,4.157680,2.000000
35819271,100.000000,4.157653,2.000000
36819810,100.000000,4.157626,2.000000
37820346,100.000000,4.157639,2.000000
38820896,100.000000,4.157680,2.000000
39821434,100.000000,4.157760,2.000000
