Timestamp (us),Percentage (%),Voltage (V),Charging Status
19810558,100.000000,4.015712,0.000000
20811089,100.000000,4.015632,0.000000
21811622,100.000000,4.015632,0.000000
22812161,100.000000,4.015611,0.000000
23812696,100.000000,4.015632,0.000000
24813228,100.000000,4.015612,0.000000
25813763,100.000000,4.015612,0.000000
