Timestamp (us),X (g),Y (g),Z (g)
22358308,-0.000420,-0.040833,1.068550
22379180,-0.023950,-0.015610,1.018579
22400052,-0.000927,-0.040684,1.093097
22420924,0.000404,0.009282,1.068388
22441796,-0.025788,-0.065426,1.067835
22462667,0.024537,-0.041298,1.069345
22483538,0.000911,0.009132,1.043841
22504409,-0.025281,-0.065576,1.043288
22546151,-0.000008,-0.015776,1.068469
22567022,-0.000420,-0.040833,1.068550
22587894,0.000183,-0.066190,1.019536
22608765,-0.024964,-0.015311,1.067674
22629637,-0.025883,-0.040219,1.092302
22650509,-0.025376,-0.040368,1.067755
22671381,0.001006,-0.016075,1.019374
22692252,0.023618,-0.066206,1.093973
22713123,-0.002353,-0.065442,1.142272
22733994,-0.001243,-0.090949,1.068711
22754865,-0.000420,-0.040833,1.068550
22775735,-0.026295,-0.065276,1.092382
22796606,-0.000927,-0.040684,1.093097
22817478,0.000911,0.009132,1.043841
22838349,-0.001339,-0.065741,1.093178
22859219,0.024632,-0.066506,1.044878
22900960,-0.001750,-0.090799,1.093258
22921830,-0.000420,-0.040833,1.068550
22942701,-0.001339,-0.065741,1.093178
22963571,-0.000420,-0.040833,1.068550
22984442,-0.000420,-0.040833,1.068550
23005312,-0.000927,-0.040684,1.093097
23026183,0.023206,-0.091264,1.094053
23047053,-0.000420,-0.040833,1.068550
23067923,-0.025979,-0.015011,1.116768
23088793,0.000594,-0.041133,1.019455
23109664,-0.001434,-0.040534,1.117644
23130535,-0.000927,-0.040684,1.093097
23151407,-0.001750,-0.090799,1.093258
23172278,-0.000420,-0.040833,1.068550
23193150,-0.000420,-0.040833,1.068550
23214022,-0.025471,-0.015161,1.092221
23234894,-0.000927,-0.040684,1.093097
23255765,-0.024457,-0.015460,1.043127
23276636,-0.026707,-0.090334,1.092463
23297508,-0.026390,-0.040069,1.116849
23318379,-0.000515,-0.015626,1.093016
23334067,0.000183,-0.066190,1.019536
23355620,-0.000420,-0.040833,1.068550
23376490,-0.024457,-0.015460,1.043127
23397361,-0.001434,-0.040534,1.117644
23418231,-0.000008,-0.015776,1.068469
23439101,0.000087,-0.040983,1.044002
23459972,-0.001750,-0.090799,1.093258
23480842,-0.024553,0.009747,1.067593
23501713,-0.024964,-0.015311,1.067674
23522584,0.024537,-0.041298,1.069345
23543456,0.000087,-0.040983,1.044002
23564328,-0.000515,-0.015626,1.093016
23585200,-0.000927,-0.040684,1.093097
23606071,0.025455,-0.016390,1.044717
23626943,-0.025376,-0.040368,1.067755
23647816,-0.000832,-0.065891,1.068630
23668715,-0.000324,-0.066041,1.044083
23689559,-0.000324,-0.066041,1.044083
23710431,-0.000008,-0.015776,1.068469
23731302,0.023618,-0.066206,1.093973
23752173,-0.000420,-0.040833,1.068550
23773045,0.000499,-0.015925,1.043922
23793916,-0.000927,-0.040684,1.093097
23814787,-0.026390,-0.040069,1.116849
23835658,0.025044,-0.041448,1.044797
23856530,-0.000420,-0.040833,1.068550
23877402,-0.000420,-0.040833,1.068550
23898274,0.024029,-0.041149,1.093892
23919146,0.000499,-0.015925,1.043922
23940018,-0.000008,-0.015776,1.068469
23960892,0.000087,-0.040983,1.044002
23981764,-0.000008,-0.015776,1.068469
24002637,-0.025281,-0.065576,1.043288
24023512,-0.000420,-0.040833,1.068550
24044381,-0.001022,-0.015477,1.117564
24065253,0.000087,-0.040983,1.044002
24086126,-0.025883,-0.040219,1.092302
24106997,-0.000832,-0.065891,1.068630
24127870,-0.000832,-0.065891,1.068630
24148743,-0.026295,-0.065276,1.092382
24169616,0.000183,-0.066190,1.019536
24190489,0.000499,-0.015925,1.043922
24211361,-0.001434,-0.040534,1.117644
24232233,-0.026200,-0.090484,1.067916
24253105,0.000087,-0.040983,1.044002
24273977,-0.001434,-0.040534,1.117644
24294849,0.000499,-0.015925,1.043922
24315721,-0.001243,-0.090949,1.068711
24336594,-0.001339,-0.065741,1.093178
24357466,0.025044,-0.041448,1.044797
24378342,-0.000008,-0.015776,1.068469
24399209,-0.000008,-0.015776,1.068469
24420080,-0.000927,-0.040684,1.093097
24440952,-0.025376,-0.040368,1.067755
24461823,-0.025376,-0.040368,1.067755
24482695,-0.026707,-0.090334,1.092463
24503566,-0.024964,-0.015311,1.067674
24524437,-0.001434,-0.040534,1.117644
24545309,-0.000927,-0.040684,1.093097
24566180,-0.024964,-0.015311,1.067674
24587051,0.000087,-0.040983,1.044002
24607923,-0.000832,-0.065891,1.068630
24628794,-0.002258,-0.090649,1.117805
24649665,-0.000515,-0.015626,1.093016
24670537,-0.001339,-0.065741,1.093178
24691409,-0.001339,-0.065741,1.093178
24712282,-0.001339,-0.065741,1.093178
24733154,-0.001339,-0.065741,1.093178
24754027,-0.000324,-0.066041,1.044083
24774900,-0.001434,-0.040534,1.117644
24795772,-0.025883,-0.040219,1.092302
24816644,-0.025788,-0.065426,1.067835
24837517,-0.001941,-0.040385,1.142192
24858390,-0.001529,-0.015327,1.142111
24879262,-0.001339,-0.065741,1.093178
24900134,0.000594,-0.041133,1.019455
24921006,0.000087,-0.040983,1.044002
24941878,-0.000927,-0.040684,1.093097
24962750,-0.000927,-0.040684,1.093097
24983623,-0.001750,-0.090799,1.093258
25004495,-0.025883,-0.040219,1.092302
25025367,-0.001434,-0.040534,1.117644
25046240,0.024727,-0.091713,1.020411
25067113,-0.025376,-0.040368,1.067755
25087985,0.025646,-0.066805,0.995783
25108858,0.024441,-0.016091,1.093811
25129730,-0.000515,-0.015626,1.093016
25150602,-0.000927,-0.040684,1.093097
25171474,-0.002258,-0.090649,1.117805
25192346,0.000087,-0.040983,1.044002
25213217,0.025551,-0.041598,1.020250
25234089,-0.001434,-0.040534,1.117644
25254960,-0.000420,-0.040833,1.068550
25275832,0.050507,-0.042063,1.021045
25296703,0.024029,-0.041149,1.093892
25317574,-0.000832,-0.065891,1.068630
25338445,-0.024457,-0.015460,1.043127
25359316,0.025963,-0.016540,1.020169
25380189,0.000087,-0.040983,1.044002
25401060,-0.026707,-0.090334,1.092463
25421932,-0.000832,-0.065891,1.068630
25442806,0.023713,-0.091414,1.069506
25457278,-0.000832,-0.065891,1.068630
25478148,0.025455,-0.016390,1.044717
25499019,0.023522,-0.040999,1.118439
25519890,0.025044,-0.041448,1.044797
25540760,-0.026200,-0.090484,1.067916
25561631,-0.001750,-0.090799,1.093258
25582502,-0.000008,-0.015776,1.068469
25603374,-0.000832,-0.065891,1.068630
25624245,-0.051663,-0.089869,1.091668
25645116,-0.000927,-0.040684,1.093097
25665988,-0.000008,-0.015776,1.068469
25686858,-0.000324,-0.066041,1.044083
25707739,-0.000832,-0.065891,1.068630
25728600,-0.000515,-0.015626,1.093016
25749472,-0.000008,-0.015776,1.068469
25770345,-0.026200,-0.090484,1.067916
25791217,0.000087,-0.040983,1.044002
25812089,-0.000420,-0.040833,1.068550
25832961,-0.000420,-0.040833,1.068550
25853833,0.023522,-0.040999,1.118439
25874705,-0.000515,-0.015626,1.093016
25895577,0.000087,-0.040983,1.044002
25916448,-0.000324,-0.066041,1.044083
25937319,-0.049921,-0.014846,1.066879
25958190,0.024125,-0.066356,1.069425
25979062,-0.001243,-0.090949,1.068711
25999933,0.000594,-0.041133,1.019455
26020804,-0.025471,-0.015161,1.092221
26041676,-0.001339,-0.065741,1.093178
26062548,-0.000927,-0.040684,1.093097
26083420,0.025044,-0.041448,1.044797
26104291,-0.025883,-0.040219,1.092302
26125162,-0.000420,-0.040833,1.068550
26146033,-0.001339,-0.065741,1.093177
26166905,-0.000420,-0.040833,1.068550
26187777,-0.001846,-0.065592,1.117725
26208649,0.000404,0.009282,1.068388
26229521,-0.001846,-0.065592,1.117725
26250393,-0.025788,-0.065426,1.067835
26271266,-0.024869,-0.040518,1.043207
26292137,-0.000832,-0.065891,1.068630
26313008,-0.000420,-0.040833,1.068550
26333880,-0.000927,-0.040684,1.093097
26354752,-0.000229,-0.091248,1.019616
26375623,-0.001339,-0.065741,1.093178
26396495,-0.000832,-0.065891,1.068630
26417369,0.000087,-0.040983,1.044002
26438240,-0.000832,-0.065891,1.068630
